<javax.xml.parsers.FactoryFinder: java.lang.Object newInstance(java.lang.String,java.lang.ClassLoader,boolean,boolean)>/java.lang.Class.newInstance/0	com.sun.org.apache.xerces.internal.jaxp.SAXParserFactoryImpl
<org.saxpath.helpers.XPathReaderFactory: org.saxpath.XPathReader createReader(java.lang.String)>/java.lang.Class.newInstance/0	com.werken.saxpath.XPathReader
org.apache.bcel.generic.Instruction.readInstruction/java.lang.Class.newInstance/0	org.apache.bcel.generic.ALOAD
org.apache.bcel.generic.Instruction.readInstruction/java.lang.Class.newInstance/0	org.apache.bcel.generic.GETSTATIC
org.apache.bcel.generic.Instruction.readInstruction/java.lang.Class.newInstance/0	org.apache.bcel.generic.INVOKESPECIAL
org.apache.bcel.generic.Instruction.readInstruction/java.lang.Class.newInstance/0	org.apache.bcel.generic.INVOKEVIRTUAL
org.apache.bcel.generic.Instruction.readInstruction/java.lang.Class.newInstance/0	org.apache.bcel.generic.LDC
org.dom4j.DocumentFactory.createSingleton/java.lang.Class.newInstance/0	org.dom4j.DocumentFactory
java.net.URL.getURLStreamHandler/java.lang.Class.newInstance/0	sun.net.www.protocol.jar.Handler
java.util.ResourceBundle$Control.newBundle/java.lang.Class.newInstance/0	sun.text.resources.FormatData
java.util.ResourceBundle$Control.newBundle/java.lang.Class.newInstance/0	sun.text.resources.FormatData_en
java.util.ResourceBundle$Control.newBundle/java.lang.Class.newInstance/0	sun.text.resources.FormatData_en_US
java.util.ResourceBundle$Control.newBundle/java.lang.Class.newInstance/0	sun.util.resources.CurrencyNames
java.util.ResourceBundle$Control.newBundle/java.lang.Class.newInstance/0	sun.util.resources.CurrencyNames_en_US
